customer_id,country,industry,signup_date,company_size
C00000,Germany,Tech,2022-07-27,Small
C00001,Canada,Healthcare,2022-07-29,Small
C00002,UK,Education,2023-05-28,Large
C00003,Canada,Healthcare,2022-12-26,Medium
C00004,Canada,Healthcare,2023-07-31,Small
C00005,USA,Education,2022-01-01,Large
C00006,UK,Healthcare,2024-01-25,Large
C00007,UK,Education,2024-09-07,Medium
C00008,UK,Education,2023-01-16,Large
C00009,Canada,Education,2024-04-07,Small
C00010,Germany,Tech,2023-06-21,Large
C00011,UK,Finance,2024-05-08,Large
C00012,Canada,Tech,2023-01-29,Large
C00013,USA,Education,2022-02-19,Large
C00014,Germany,Finance,2023-01-31,Medium
C00015,USA,Finance,2024-05-09,Small
C00016,Germany,Education,2024-01-23,Large
C00017,Canada,Finance,2022-02-01,Small
C00018,India,Finance,2023-06-29,Medium
C00019,Germany,Tech,2023-12-13,Small
C00020,USA,Finance,2022-08-22,Medium
C00021,Canada,Education,2022-01-26,Small
C00022,Germany,Retail,2023-07-08,Small
C00023,India,Retail,2023-03-10,Large
C00024,India,Retail,2022-03-02,Small
C00025,UK,Education,2023-07-07,Large
C00026,UK,Retail,2023-03-17,Large
C00027,USA,Tech,2022-05-10,Small
C00028,Germany,Education,2024-05-16,Large
C00029,Germany,Education,2022-12-20,Small
C00030,UK,Education,2022-07-17,Large
C00031,Germany,Finance,2024-03-09,Large
C00032,Germany,Finance,2023-10-25,Medium
C00033,India,Finance,2023-12-17,Medium
C00034,UK,Healthcare,2023-11-25,Small
C00035,Canada,Tech,2023-01-06,Large
C00036,UK,Education,2024-07-12,Medium
C00037,Canada,Education,2023-12-20,Medium
C00038,India,Finance,2022-05-27,Medium
C00039,USA,Education,2023-12-17,Large
C00040,Germany,Education,2023-05-13,Small
C00041,India,Retail,2022-02-17,Large
C00042,Germany,Education,2024-02-09,Large
C00043,USA,Healthcare,2023-10-13,Medium
C00044,USA,Finance,2022-06-21,Large
C00045,India,Tech,2023-09-05,Large
C00046,USA,Tech,2023-11-30,Medium
C00047,Canada,Retail,2024-06-14,Medium
C00048,USA,Tech,2022-11-11,Large
