customer_id,revenue,cost,profit
C00000,120,38,82
C00001,120,78,42
C00002,50,25,25
C00003,50,23,27
C00004,50,56,-6
C00005,50,46,4
C00006,50,43,7
C00007,120,49,71
C00008,50,17,33
C00009,120,47,73
C00010,20,75,-55
C00011,120,70,50
C00012,50,49,1
C00013,20,8,12
C00014,50,5,45
C00015,20,64,-44
C00016,120,54,66
C00017,20,51,-31
C00018,50,21,29
C00019,20,39,-19
C00020,120,12,108
C00021,20,60,-40
C00022,120,64,56
C00023,20,59,-39
C00024,120,11,109
C00025,120,69,51
C00026,120,29,91
C00027,120,28,92
C00028,50,79,-29
C00029,120,69,51
C00030,50,51,-1
C00031,120,12,108
C00032,20,49,-29
C00033,20,33,-13
C00034,50,35,15
C00035,20,61,-41
C00036,120,11,109
C00037,20,35,-15
C00038,50,64,-14
C00039,20,60,-40
C00040,50,36,14
C00041,120,65,55
C00042,120,65,55
C00043,20,68,-48
C00044,20,14,6
C00045,20,30,-10
C00046,120,73,47
C00047,20,77,-57
C00048,120,41,79
C00049,50,34,16
C00050,20,6,14
C00051,20,46,-26
C00052,50,72,-22
C00053,50,39,11
C00054,50,14,36
C00055,50,35,15
C00056,120,10,110
C00057,20,69,-49
C00058,120,78,42
C00059,120,6,114
C00060,50,13,37
C00061,20,70,-50
C00062,120,63,57
C00063,120,17,103
C00064,50,10,40
C00065,20,29,-9
C00066,20,67,-47
C00067,20,63,-43
C00068,120,50,70
C00069,50,19,31
C00070,20,70,-50
C00071,120,46,74
C00072,120,21,99
C00073,20,27,-7
C00074,50,19,31
C00075,50,42,8
C00076,20,60,-40
C00077,120,38,82
C00078,50,69,-19
C00079,120,38,82
C00080,120,77,43
C00081,50,20,30
C00082,120,54,66
C00083,120,73,47
C00084,20,46,-26
C00085,50,66,-16
C00086,120,16,104
C00087,50,73,-23
C00088,50,76,-26
C00089,120,32,88
C00090,50,34,16
C00091,20,79,-59
C00092,20,54,-34
C00093,120,21,99
C00094,50,14,36
C00095,120,15,105
C00096,50,51,-1
C00097,120,12,108
C00098,120,35,85
C00099,50,41,9
C00100,20,37,-17
C00101,120,13,107
C00102,20,50,-30
C00103,50,7,43
C00104,120,17,103
C00105,50,32,18
C00106,20,56,-36
C00107,50,65,-15
C00108,120,28,92
C00109,20,14,6
C00110,120,46,74
C00111,20,41,-21
C00112,50,19,31
C00113,50,32,18
C00114,120,41,79
C00115,120,69,51
C00116,120,17,103
C00117,20,63,-43
C00118,20,72,-52
C00119,120,60,60
C00120,20,34,-14
C00121,20,68,-48
C00122,50,71,-21
C00123,50,24,26
C00124,50,31,19
C00125,120,16,104
C00126,50,45,5
C00127,50,55,-5
C00128,20,33,-13
C00129,50,55,-5
C00130,20,63,-43
C00131,50,35,15
C00132,120,13,107
C00133,120,74,46
C00134,50,34,16
C00135,50,44,6
C00136,50,11,39
C00137,120,76,44
C00138,20,63,-43
C00139,20,15,5
C00140,50,7,43
C00141,120,8,112
C00142,20,24,-4
C00143,50,9,41
C00144,120,38,82
C00145,120,18,102
C00146,20,17,3
C00147,120,65,55
C00148,50,53,-3
C00149,50,49,1
C00150,20,57,-37
C00151,120,28,92
C00152,20,67,-47
C00153,20,79,-59
C00154,120,13,107
C00155,20,67,-47
C00156,120,60,60
C00157,50,75,-25
C00158,20,79,-59
C00159,120,46,74
C00160,120,5,115
C00161,120,68,52
C00162,20,76,-56
C00163,50,19,31
C00164,20,73,-53
C00165,50,26,24
C00166,20,24,-4
C00167,20,72,-52
C00168,20,49,-29
C00169,50,44,6
C00170,120,50,70
C00171,20,67,-47
C00172,20,16,4
C00173,50,56,-6
C00174,20,11,9
C00175,120,59,61
C00176,120,9,111
C00177,50,51,-1
C00178,50,42,8
C00179,120,47,73
C00180,120,74,46
C00181,120,12,108
C00182,50,54,-4
C00183,120,13,107
C00184,120,17,103
C00185,120,54,66
C00186,20,39,-19
C00187,50,29,21
C00188,50,65,-15
C00189,50,35,15
C00190,50,53,-3
C00191,20,47,-27
C00192,20,49,-29
C00193,20,11,9
C00194,20,78,-58
C00195,20,10,10
C00196,50,54,-4
C00197,50,74,-24
C00198,50,49,1
C00199,20,58,-38
C00200,120,21,99
C00201,50,33,17
C00202,50,68,-18
C00203,120,75,45
C00204,20,24,-4
C00205,120,30,90
C00206,120,33,87
C00207,50,11,39
C00208,50,38,12
C00209,20,9,11
C00210,120,10,110
C00211,20,37,-17
C00212,120,47,73
C00213,50,63,-13
C00214,120,37,83
C00215,20,65,-45
C00216,120,22,98
C00217,20,18,2
C00218,120,25,95
C00219,50,43,7
C00220,50,38,12
C00221,20,35,-15
C00222,50,11,39
C00223,120,75,45
C00224,120,5,115
C00225,50,26,24
C00226,20,67,-47
C00227,120,66,54
C00228,20,50,-30
C00229,120,61,59
C00230,20,49,-29
C00231,20,78,-58
C00232,120,17,103
C00233,120,72,48
C00234,20,41,-21
C00235,120,18,102
C00236,50,41,9
C00237,120,18,102
C00238,20,70,-50
C00239,120,70,50
C00240,120,37,83
