customer_id,plan,monthly_price,status
C00000,Pro,120,Active
C00001,Enterprise,120,Active
C00002,Pro,50,Active
C00003,Pro,50,Churned
C00004,Basic,50,Active
C00005,Basic,50,Active
C00006,Basic,50,Churned
C00007,Pro,120,Active
C00008,Pro,50,Active
C00009,Enterprise,120,Active
C00010,Basic,20,Active
C00011,Basic,120,Active
C00012,Enterprise,50,Active
C00013,Basic,20,Active
C00014,Basic,50,Active
C00015,Basic,20,Active
C00016,Enterprise,120,Active
C00017,Basic,20,Churned
C00018,Pro,50,Active
C00019,Basic,20,Active
C00020,Pro,120,Active
C00021,Basic,20,Active
C00022,Pro,120,Active
C00023,Basic,20,Active
C00024,Pro,120,Active
C00025,Pro,120,Active
C00026,Basic,120,Churned
C00027,Enterprise,120,Churned
C00028,Basic,50,Active
C00029,Enterprise,120,Churned
C00030,Enterprise,50,Active
C00031,Enterprise,120,Churned
C00032,Enterprise,20,Active
C00033,Enterprise,20,Active
C00034,Enterprise,50,Active
C00035,Basic,20,Active
C00036,Pro,120,Active
C00037,Pro,20,Active
C00038,Basic,50,Active
C00039,Basic,20,Active
C00040,Basic,50,Active
C00041,Enterprise,120,Active
C00042,Enterprise,120,Active
C00043,Pro,20,Active
C00044,Basic,20,Active
C00045,Pro,20,Active
C00046,Pro,120,Active
C00047,Enterprise,20,Active
C00048,Enterprise,120,Active
C00049,Pro,50,Active
C00050,Enterprise,20,Active
C00051,Enterprise,20,Churned
C00052,Enterprise,50,Churned
C00053,Pro,50,Active
C00054,Pro,50,Churned
C00055,Pro,50,Active
C00056,Basic,120,Active
C00057,Pro,20,Active
C00058,Enterprise,120,Active
C00059,Pro,120,Churned
C00060,Basic,50,Active
C00061,Enterprise,20,Active
C00062,Pro,120,Active
C00063,Pro,120,Churned
C00064,Enterprise,50,Active
C00065,Pro,20,Active
C00066,Basic,20,Active
C00067,Enterprise,20,Churned
C00068,Pro,120,Active
C00069,Enterprise,50,Active
C00070,Pro,20,Active
C00071,Pro,120,Churned
C00072,Enterprise,120,Active
C00073,Pro,20,Active
C00074,Pro,50,Active
C00075,Enterprise,50,Active
C00076,Pro,20,Active
C00077,Pro,120,Active
C00078,Enterprise,50,Active
C00079,Basic,120,Active
C00080,Basic,120,Churned
C00081,Basic,50,Active
C00082,Basic,120,Active
C00083,Basic,120,Active
C00084,Basic,20,Churned
C00085,Enterprise,50,Active
C00086,Enterprise,120,Active
C00087,Enterprise,50,Churned
C00088,Pro,50,Active
C00089,Basic,120,Active
C00090,Basic,50,Active
C00091,Enterprise,20,Churned
C00092,Pro,20,Active
C00093,Pro,120,Active
C00094,Enterprise,50,Active
C00095,Basic,120,Active
C00096,Pro,50,Churned
C00097,Basic,120,Churned
C00098,Pro,120,Churned
C00099,Basic,50,Churned
C00100,Pro,20,Active
C00101,Basic,120,Active
C00102,Basic,20,Active
C00103,Basic,50,Active
C00104,Enterprise,120,Active
C00105,Basic,50,Active
C00106,Basic,20,Active
C00107,Pro,50,Active
C00108,Pro,120,Churned
C00109,Enterprise,20,Churned
C00110,Pro,120,Active
C00111,Basic,20,Active
C00112,Enterprise,50,Active
C00113,Enterprise,50,Active
C00114,Enterprise,120,Churned
C00115,Basic,120,Active
C00116,Basic,120,Active
C00117,Pro,20,Churned
C00118,Pro,20,Active
C00119,Pro,120,Active
C00120,Enterprise,20,Churned
C00121,Basic,20,Churned
C00122,Pro,50,Churned
C00123,Basic,50,Active
C00124,Enterprise,50,Active
C00125,Basic,120,Churned
C00126,Basic,50,Active
C00127,Enterprise,50,Churned
C00128,Pro,20,Churned
C00129,Basic,50,Active
C00130,Basic,20,Active
C00131,Enterprise,50,Active
C00132,Basic,120,Active
C00133,Basic,120,Active
C00134,Basic,50,Active
C00135,Enterprise,50,Churned
C00136,Basic,50,Churned
C00137,Enterprise,120,Active
C00138,Pro,20,Churned
C00139,Basic,20,Active
C00140,Enterprise,50,Active
C00141,Enterprise,120,Churned
C00142,Basic,20,Active
C00143,Enterprise,50,Churned
C00144,Pro,120,Active
C00145,Pro,120,Active
C00146,Pro,20,Churned
C00147,Pro,120,Active
C00148,Enterprise,50,Churned
C00149,Enterprise,50,Active
C00150,Pro,20,Churned
C00151,Pro,120,Active
C00152,Pro,20,Active
C00153,Pro,20,Churned
C00154,Pro,120,Active
C00155,Enterprise,20,Churned
C00156,Pro,120,Churned
C00157,Pro,50,Active
C00158,Basic,20,Churned
C00159,Enterprise,120,Active
C00160,Pro,120,Active
C00161,Enterprise,120,Active
C00162,Basic,20,Churned
C00163,Basic,50,Active
C00164,Pro,20,Churned
C00165,Pro,50,Active
C00166,Pro,20,Active
C00167,Pro,20,Active
C00168,Basic,20,Active
C00169,Enterprise,50,Active
C00170,Pro,120,Churned
C00171,Enterprise,20,Active
C00172,Pro,20,Active
C00173,Pro,50,Active
C00174,Basic,20,Churned
C00175,Pro,120,Active
C00176,Pro,120,Active
C00177,Pro,50,Churned
C00178,Basic,50,Active
C00179,Enterprise,120,Active
C00180,Basic,120,Active
C00181,Pro,120,Churned
C00182,Pro,50,Active
C00183,Pro,120,Churned
