customer_id,logins,invoices_created,support_tickets
C00000,37,76,8
C00001,89,65,9
C00002,35,2,3
C00003,19,11,4
C00004,28,76,8
C00005,57,92,8
C00006,61,97,1
C00007,43,170,4
C00008,60,3,7
C00009,10,41,0
C00010,79,49,3
C00011,96,83,7
C00012,67,82,9
C00013,24,37,1
C00014,74,92,0
C00015,44,7,5
C00016,30,111,5
C00017,97,38,0
C00018,45,186,2
C00019,89,133,9
C00020,60,61,7
C00021,53,83,8
C00022,25,167,7
C00023,76,28,0
C00024,4,185,3
C00025,92,130,8
C00026,84,70,0
C00027,74,156,3
C00028,31,37,9
C00029,19,120,6
C00030,2,96,6
C00031,4,183,6
C00032,79,101,9
C00033,38,82,3
C00034,33,129,7
C00035,18,3,2
C00036,32,71,8
C00037,96,97,5
C00038,77,85,6
C00039,80,142,8
C00040,33,176,3
C00041,34,37,4
C00042,51,131,0
C00043,63,177,9
C00044,78,101,7
C00045,47,184,1
C00046,66,188,4
C00047,13,97,4
C00048,52,13,9
C00049,93,127,3
C00050,52,181,3
C00051,43,50,1
C00052,98,147,2
C00053,61,154,9
C00054,81,181,1
C00055,3,57,0
C00056,94,166,3
C00057,68,137,8
C00058,95,46,5
C00059,59,94,7
C00060,54,86,1
C00061,69,132,1
C00062,2,199,1
C00063,68,125,7
C00064,44,82,0
C00065,38,178,4
C00066,60,70,3
C00067,27,93,0
C00068,91,133,9
C00069,15,198,6
C00070,39,162,0
C00071,38,193,5
C00072,54,146,0
C00073,63,27,8
C00074,58,10,2
C00075,62,130,1
C00076,78,189,6
C00077,18,118,0
C00078,29,150,6
C00079,71,138,8
C00080,57,59,3
C00081,24,121,9
C00082,38,91,1
C00083,6,140,3
C00084,20,63,8
C00085,42,15,7
C00086,74,191,4
C00087,22,193,7
C00088,33,166,6
C00089,87,105,3
C00090,46,6,2
C00091,54,134,0
C00092,42,38,2
C00093,51,48,7
C00094,68,15,8
C00095,85,72,8
C00096,56,29,4
C00097,77,2,3
C00098,42,75,5
C00099,13,144,6
C00100,54,186,5
C00101,12,88,4
C00102,88,162,1
C00103,35,171,2
C00104,83,24,8
C00105,9,102,6
C00106,13,25,9
C00107,22,169,1
C00108,40,117,0
C00109,36,33,0
C00110,92,108,0
C00111,41,43,5
C00112,7,17,4
C00113,94,7,6
C00114,95,187,4
C00115,55,27,8
C00116,75,36,0
C00117,94,147,8
C00118,79,15,3
C00119,13,70,9
C00120,99,185,6
C00121,99,69,1
C00122,20,53,2
C00123,58,197,3
C00124,23,2,4
C00125,53,107,1
C00126,37,146,6
C00127,20,160,5
C00128,19,113,8
C00129,18,126,6
C00130,68,157,9
C00131,61,49,9
C00132,72,116,1
C00133,46,60,2
C00134,94,127,2
C00135,48,28,7
C00136,20,86,7
C00137,72,155,2
C00138,69,136,7
C00139,34,151,4
C00140,7,32,3
C00141,50,15,3
C00142,53,91,3
C00143,86,128,0
C00144,73,123,6
C00145,11,196,9
C00146,76,168,9
C00147,8,96,3
C00148,32,57,1
C00149,63,47,0
C00150,55,101,2
C00151,59,118,0
C00152,63,10,4
C00153,17,184,5
C00154,26,117,5
C00155,51,92,5
C00156,33,180,6
C00157,26,63,0
C00158,22,179,3
C00159,67,70,9
C00160,95,137,9
C00161,78,94,8
C00162,82,41,9
C00163,98,40,1
C00164,63,16,7
C00165,17,25,6
C00166,41,138,6
C00167,76,158,2
C00168,39,9,1
C00169,33,40,1
C00170,32,57,2
C00171,21,46,2
C00172,53,119,9
C00173,64,7,1
C00174,78,171,6
C00175,66,116,1
C00176,49,128,5
C00177,71,176,4
C00178,79,113,6
C00179,31,119,6
C00180,92,104,7
C00181,41,57,3
C00182,72,145,9
C00183,71,25,4
C00184,36,111,9
C00185,74,135,3
C00186,39,55,6
C00187,94,147,2
C00188,41,32,9
C00189,41,87,1
C00190,5,160,3
C00191,85,154,4
C00192,6,72,0
C00193,62,22,2
C00194,16,183,7
C00195,80,185,4
C00196,88,136,0
C00197,19,46,3
C00198,83,5,7
C00199,37,12,7
C00200,64,27,1
C00201,59,84,8
C00202,97,139,9
C00203,69,36,0
C00204,73,52,9
C00205,85,130,7
C00206,7,74,7
C00207,42,199,5
C00208,25,12,0
C00209,56,55,8
C00210,47,80,9
C00211,85,159,2
C00212,77,91,0
C00213,50,160,6
C00214,85,64,9
C00215,74,104,4
C00216,88,91,1
C00217,91,59,0
C00218,33,25,5
C00219,26,104,0
C00220,17,197,5
C00221,21,68,0
C00222,2,172,6
C00223,79,171,6
C00224,44,143,9
C00225,66,141,3
C00226,71,197,6
C00227,36,198,7
C00228,46,173,7
C00229,50,153,2
C00230,96,153,7
C00231,67,10,2
C00232,3,190,4
C00233,33,12,0
C00234,45,195,6
C00235,25,29,9
C00236,37,43,7
C00237,36,88,3
C00238,35,88,6
C00239,19,111,6
C00240,45,113,5
C00241,83,165,4
C00242,97,69,9
C00243,18,119,3
C00244,27,11,4
C00245,94,168,6
C00246,31,107,7
C00247,39,63,3
C00248,67,22,4
C00249,22,143,5
C00250,52,137,8
C00251,10,70,9
C00252,8,192,5
C00253,34,90,6
C00254,53,134,7
C00255,18,96,2
C00256,12,43,4
C00257,64,148,3
C00258,57,125,0
C00259,96,99,3
C00260,2,171,1
C00261,17,190,3
C00262,52,67,1
C00263,76,82,3
C00264,71,180,3
C00265,79,100,2
C00266,2,154,4
C00267,27,159,8
C00268,26,183,0
C00269,25,68,6
C00270,12,57,9
C00271,17,152,0
C00272,65,193,9
C00273,95,154,0
C00274,40,49,1
C00275,5,38,9
C00276,92,36,5
C00277,28,122,8
C00278,72,182,2
C00279,52,137,4
C00280,14,170,7
C00281,6,96,9
C00282,18,104,5
C00283,37,82,2
C00284,74,24,1
C00285,64,168,2
C00286,99,82,5
C00287,35,103,4
C00288,17,8,7
C00289,91,182,9
C00290,88,115,1
C00291,10,11,1
C00292,51,107,3
C00293,81,95,8
C00294,52,122,4
C00295,64,184,6
C00296,33,157,6
C00297,97,42,5
C00298,17,6,5
C00299,82,3,8
C00300,49,74,3
C00301,7,98,1
C00302,90,65,6
C00303,65,140,5
C00304,62,36,3
C00305,75,184,0
C00306,10,180,3
C00307,31,120,5
C00308,25,125,2
C00309,57,160,0
C00310,65,184,1
C00311,43,139,5
C00312,3,129,0
C00313,55,112,5
C00314,48,134,0
C00315,65,79,0
C00316,71,152,5
C00317,60,72,0
C00318,14,81,8
C00319,87,152,1
C00320,81,77,8
C00321,14,9,4
C00322,9,187,4
C00323,85,70,9
C00324,45,23,7
C00325,2,86,0
C00326,32,17,8
C00327,8,98,0
C00328,36,123,4
C00329,90,25,7
C00330,37,112,0
C00331,15,38,4
C00332,34,3,2
C00333,21,195,7
C00334,87,14,2
C00335,9,10,7
C00336,40,66,1
C00337,26,199,9
C00338,22,142,2
C00339,13,126,0
C00340,25,10,0
C00341,71,99,3
C00342,91,49,4
C00343,15,190,2
C00344,76,176,1
C00345,45,131,0
C00346,97,47,2
C00347,21,60,0
C00348,89,25,9
C00349,40,135,9
C00350,47,77,5
C00351,86,121,2
C00352,61,167,3
C00353,14,43,7
C00354,72,46,9
C00355,88,43,4
C00356,67,29,4
C00357,76,83,7
C00358,47,103,9
C00359,86,86,9
C00360,16,194,9
C00361,71,99,3
C00362,18,197,7
C00363,45,155,9
C00364,23,82,4
C00365,26,112,5
C00366,66,3,0
C00367,2,56,8
C00368,22,111,3
C00369,38,64,0
C00370,42,21,6
C00371,28,24,9
C00372,63,148,3
C00373,17,52,4
C00374,82,13,6
C00375,59,198,6
C00376,2,171,8
C00377,99,94,8
C00378,79,78,6
C00379,79,165,9
C00380,98,102,8
C00381,50,30,4
C00382,15,15,1
C00383,18,153,8
C00384,77,166,5
C00385,38,43,5
C00386,8,158,8
C00387,80,40,0
C00388,20,187,1
C00389,60,151,2
C00390,26,44,0
C00391,35,81,3
C00392,81,1,1
C00393,26,103,2
C00394,18,125,7
C00395,44,82,3
C00396,7,41,8
C00397,35,62,5
C00398,12,188,0
C00399,44,138,5
C00400,41,108,6
C00401,54,73,3
C00402,1,78,7
C00403,25,194,9
C00404,80,57,2
C00405,15,121,6
C00406,75,42,6
C00407,3,182,3
C00408,45,85,0
C00409,45,170,9
C00410,51,66,9
C00411,42,70,5
C00412,39,139,9
C00413,20,195,6
C00414,87,11,2
C00415,79,4,4
C00416,18,79,7
C00417,39,123,6
C00418,99,79,1
C00419,29,177,3
C00420,20,150,6
C00421,42,165,8
C00422,79,138,6
C00423,96,20,7
C00424,12,96,9
C00425,56,73,8
C00426,12,178,0
C00427,89,159,2
C00428,53,44,5
C00429,98,31,7
C00430,8,75,6
C00431,58,41,5
C00432,24,4,3
C00433,61,114,7
C00434,1,14,9
C00435,89,174,3
C00436,98,54,5
C00437,78,92,2
C00438,70,128,6
C00439,45,89,5
C00440,9,87,6
C00441,1,33,4
C00442,73,158,4
C00443,24,137,1
C00444,60,166,5
C00445,82,89,0
C00446,48,82,6
C00447,39,43,2
C00448,18,135,1
C00449,92,88,6
C00450,52,40,8
C00451,2,85,0
C00452,36,119,5
C00453,48,62,7
C00454,88,183,1
C00455,35,35,4
C00456,70,171,3
C00457,81,11,9
C00458,94,130,2
C00459,72,79,9
C00460,42,79,7
C00461,74,133,1
C00462,80,116,0
C00463,38,168,0
C00464,26,46,9
C00465,31,21,4
C00466,52,137,8
C00467,60,71,3
C00468,8,155,6
C00469,61,17,1
C00470,35,66,2
C00471,34,26,9
C00472,10,109,8
C00473,40,173,4
C00474,52,183,5
C00475,12,40,2
C00476,27,16,5
C00477,19,160,9
C00478,57,35,7
C00479,90,64,9
C00480,54,192,0
C00481,15,143,9
C00482,95,170,7
C00483,37,121,7
C00484,61,178,6
C00485,18,160,3
C00486,93,30,0
C00487,44,152,9
C00488,91,194,1
C00489,84,149,9
C00490,21,170,2
C00491,29,80,4
C00492,15,100,2
C00493,86,186,7
C00494,87,2,5
C00495,68,16,2
C00496,88,7,1
C00497,64,183,2
C00498,14,143,1
C00499,37,23,2
C00500,54,197,8
C00501,59,1,0
C00502,59,116,2
C00503,85,69,6
C00504,55,141,1
C00505,43,154,2
C00506,52,52,5
C00507,39,141,1
C00508,77,96,0
C00509,19,55,9
C00510,56,29,1
C00511,90,146,3
C00512,36,130,4
C00513,52,27,0
C00514,44,50,3
C00515,46,42,4
C00516,97,195,3
C00517,40,138,1
C00518,80,9,0
C00519,53,3,3
C00520,57,86,1
C00521,19,38,9
C00522,78,70,8
C00523,44,69,3
C00524,94,158,2
C00525,95,14,6
C00526,20,2,2
C00527,44,97,9
C00528,43,101,7
C00529,7,136,4
C00530,42,74,3
C00531,62,126,0
C00532,2,83,4
C00533,86,99,8
C00534,77,18,7
C00535,46,199,3
C00536,38,141,8
C00537,95,46,6
C00538,1,182,1
C00539,47,140,6
C00540,13,40,3
C00541,60,88,4
C00542,81,166,0
C00543,64,140,3
C00544,68,67,1
C00545,55,25,8
C00546,31,163,7
C00547,97,144,2
C00548,14,112,6
C00549,85,45,6
C00550,86,141,5
C00551,5,152,2
C00552,54,2,8
C00553,53,110,8
C00554,37,138,5
C00555,96,19,2
C00556,57,24,3
C00557,3,189,4
C00558,77,133,8
C00559,11,80,2
C00560,42,101,8
C00561,55,162,4
C00562,38,102,5
C00563,24,64,1
C00564,9,12,1
C00565,13,123,1
C00566,86,109,6
C00567,18,109,5
C00568,10,187,6
C00569,12,149,2
C00570,94,96,3
C00571,47,115,5
C00572,83,47,2
C00573,83,53,0
C00574,10,99,5
C00575,1,73,9
C00576,57,167,9
C00577,71,159,1
C00578,11,78,6
C00579,53,174,4
C00580,4,185,0
C00581,61,106,8
C00582,85,165,1
C00583,86,155,1
C00584,10,157,9
C00585,87,113,9
C00586,5,146,3
C00587,61,132,1
C00588,76,84,9
C00589,30,1,5
C00590,57,24,4
C00591,33,42,9
C00592,37,188,9
C00593,82,111,2
C00594,68,24,1
C00595,91,56,5
C00596,23,69,1
C00597,70,18,3
C00598,7,193,4
C00599,19,138,7
C00600,15,145,0
C00601,86,58,6
C00602,32,163,5
C00603,79,132,2
C00604,59,172,9
C00605,70,124,9
C00606,70,75,9
C00607,6,195,0
C00608,76,28,1
C00609,66,139,0
C00610,89,3,2
C00611,4,100,0
C00612,70,3,9
C00613,57,25,4
C00614,61,76,9
C00615,56,12,5
C00616,14,177,0
C00617,83,184,0
C00618,7,53,3
C00619,54,96,3
C00620,82,10,7
C00621,58,112,9
C00622,61,147,6
C00623,72,47,6
C00624,28,182,8
C00625,85,7,7
C00626,55,88,2
C00627,99,167,3
C00628,74,32,7
C00629,53,23,4
C00630,92,50,4
C00631,83,147,7
C00632,44,118,7
C00633,99,195,5
C00634,28,25,8
C00635,46,153,3
C00636,49,6,9
C00637,67,97,0
C00638,27,143,9
C00639,81,191,1
C00640,79,148,0
C00641,39,171,3
C00642,86,96,8
C00643,84,195,5
C00644,27,4,5
C00645,35,6,5
C00646,47,59,0
C00647,52,52,0
C00648,69,19,2
C00649,66,122,4
C00650,41,26,1
C00651,50,48,0
C00652,45,183,8
C00653,20,89,0
C00654,71,187,3
C00655,36,38,8
C00656,72,84,9
C00657,91,133,1
C00658,70,170,9
C00659,24,108,2
C00660,36,163,3
C00661,5,197,1
C00662,84,3,1
C00663,20,41,5
C00664,53,160,9
C00665,40,36,4
C00666,98,30,4
C00667,50,116,8
C00668,74,113,6
C00669,67,167,8
C00670,98,93,0
C00671,35,109,1
C00672,64,89,4
C00673,37,188,9
C00674,45,184,6
C00675,38,118,7
C00676,87,186,6
